我々 の 中 に 裏切り 者 が い る 。	we have a traitor among us .	1
行 く まい と 決め た 。	i decided not to go .	1
彼女 は オフレコ で この 話 を し て くれ た 。	she told me an interesting story .	0
ボブ は ６ 時 に は 帰 っ て い ま す 。	bob will be home at six .	1
公園 に は 非常 に たくさん の 少年 少女 が い ま し た 。	there are a great many people in the park .	0
私 は なん と も あ り ま せ ん 。	nothing is the matter with me .	1
彼女 は 研究 に 没頭 し て い る 。	this lake is deep .	0
彼女 は フランス 語 が 話せ ま す 、 まして 英語 は 話せ ま す 。	she can speak french .	0
転地 が あなた に と っ て 効果 が あ る で しょ う 。	a change of air will do you good .	1
私 は 猫 が その 犬 を 追いかけ て い る の を み た 。	i saw a dog .	0
私 は あなた の 成功 が うらやまし い 。	i envy you your success .	1
ジョン は 自分 の 犬 を からか う 。	tom always makes fun of john because of his dialect .	0
私 は 彼 の 話 の 要点 が 分か ら な かっ た 。	his speech was to the point .	0
彼女 は ピアノ で 高 い 音 を 出 し た 。	the man suddenly struck me on the head .	0
病気 の ため ジェーン は 学校 に 行け ま せ ん で し た 。	illness prevented jane from going to school .	1
コート を 掛け て くださ い 。	hang up your coat , please .	1
その 犬 が 私 に 向か っ て き て ね 。	that dog made for me .	1
彼 は 今 電話 中 で す 。	i 'm talking on the phone .	0
彼女 は 彼 に 到着 を し ら せ た 。	she informed him of her arrival .	1
店 は ９ 時 から ６ 時 まで 開 い て い る 。	the store is open from nine to six .	1
私 は 今日 は もう 用 が な い 。	i have nothing more to do today .	1
彼 は 明日 着 く 予定 だ 。	he is due to arrive tomorrow .	1
一 晩 で その 本 を 全部 読 ん だ 。	i should read the book .	0
彼 は 手紙 を 受け取 る と すぐ に ニューヨーク へ 行 っ た 。	he went as far as the station .	0
彼 は 両親 と 住 ん で い る 。	he lives at peace with his wife .	0
バス で 行 き ま す か 、 車 を 利用 し ま す か 。	are you going by bus or car ?	1
彼 は いつ も より 早 く 着 い た 。	he arrived earlier than usual .	1
私 は 初め は 彼 の 言葉 が 信 じ られ な かっ た 。	i wasn 't able to believe him at first .	1
その 考え を する 人 は 少な く な い 。	not a few people had that thought .	1
彼 ら が 休暇 中 に 働 く の は よ い こと だ 。	he stayed there during the vacation .	0
彼 の 妻 は 必要 から 働き出 し た 。	his wife has started to work out of necessity .	1
誰 も 生き て い な い 。	i like none of them .	0
彼 は 警察 に 捕まえ られ た 。	the police caught up with him .	0
この 場所 に ？	just right here ?	1
間違い を 犯 し て 申し訳 あ り ま せ ん 。	we are sorry for his mistake .	0
彼 は その ニュース を 聞 い て 青ざめ た 。	she turned pale at the news .	0
人 は 自分 の 隣人 を 愛 さ な けれ ば な ら な い 。	one must keep one 's promises .	0
彼女 に 真実 を 伝え る 気 が し な い 。	to tell the truth , i am tired of it .	0
彼 は もう 見込み が な い 。	this work is beyond me .	0
電車 に 間に合 わ な かっ た 。	i couldn 't catch the train .	1
この 箱 は 少し 重 すぎ る 。	the box is too heavy to carry .	0
彼 は 私 の 一 倍 半 の 本 を 持 っ て い る 。	he has half again as many books as i.	1
その 子 は 公園 で 迷子 に な っ た 。	he got lost in the city .	0
あなた は 新入 生 で す か 。	are you a new student ?	1
日本 は その 国 の 新し い 政府 を 承認 し た 。	japan is a beautiful country .	0
私 は 実際 、 そう い っ た こと は 好き で は な い 。	i don 't really care for that sort of thing .	1
順番 を お 待 ち 下さ い 。	turn back , please .	0
彼女 は アメリカ に 行 っ て しま っ た 。	my father has gone to america .	0
ある 意味 で 彼 の 言 う こと は 本当 だ 。	in a sense what he says is true .	1
彼 は 彼女 に 自分 を 知 っ て い る か と 尋ね た 。	i asked him if he would help me .	0
少女 たち は 春 に 美し い 花 を つ み た かっ た 。	the girls wanted to pick beautiful flowers in spring .	1
楽し く 街 を 見 ま し た が 、 少し 疲れ ま し た 。	we enjoyed seeing the city , but we got a little tired .	1
彼 は 帽子 を かぶ っ た ままで そこ に 立 っ て い た 。	he stood there with his hat on .	1
最上 の もの は 後 から 出 て くる 。	work is behind schedule .	0
君 が いつ 来 て も 、 私 は 用意 が でき て い る 。	please come whenever you like .	0
その 赤ちゃん は まだ 歩け な い 。	our baby cannot talk yet .	0
そんな もの を 買 う 余裕 は な い よ 。	i can 't afford to buy it .	0
彼 は 誰 か に 部屋 掃除 さ せ る だ ろ う 。	i should clean the room .	0
私 は 英語 を 話せ る よう に な り た い 。	i want to be able to speak english .	1
その 仕事 は 終わ っ た 。	he is done for .	0
彼 ら は 私 の 質問 に やっと の こと で 答え た 。	he answered all the questions in ten minutes .	0
私 は 成功 の 望み が 薄 い 。	there is little hope of my success .	1
嘘 なん かつ く 人 で な い 。	john is above telling a lie .	0
彼 は 、 虎 が 好き 。	he likes soccer .	0
ここ の ところ 寒 さ が 長 く 続 い て い る 。	we have had a long spell of cold weather .	1
彼 が 合格 し た の で 両親 は 喜 ん だ 。	i am delighted at your success .	0
彼 は よく 図書 館 に 行 っ た もの だ 。	he would often go to the library .	1
彼 は 仕事 に 取りかか っ た 。	he set about his work .	1
子供 たち が 公園 で 遊 ん で い た 。	the children were playing in the park .	1
私 は 君 を 見捨て たり は 決して し な い 。	i 'll never fail you .	1
私 は それ を 聞 い て 大変 うれし い 。	i 'm glad to hear that .	0
今日 も よ い 天気 ら し い で す ね 。	looks like another nice day .	1
私 は もう 数 週間 滞在 し て い ま す 。	i am staying for another few weeks .	1
京都 は 訪れ る 価値 が あ る 。	new york is worth visiting .	0
